"","day1","day2","day3","day4","date","stormy","mixed","price","qty","rainy","cold","windspd","windspd2","pricelevel","totr","tots"
"1",1,0,0,0,911202,1,0,0.131109435913438,8.02592014283571,1,0,2.995732,8.974412,0.65,7232,8058
"2",0,1,0,0,911203,1,0,-0.191344302519549,8.99419142189801,0,0,2.995732,8.974412,1,2110,2224
"3",0,0,1,0,911204,0,1,0.618951464054188,8.86636633352076,1,1,2.813411,7.91528,1.075,5247,4231
"4",0,0,0,1,911205,1,0,-0.404518747045412,8.0292516340239,0,1,3.036554,9.220662,1.280357,1290,5750
"5",0,0,0,0,911206,1,0,0.178830142811987,8.74638778244166,0,1,3.036554,9.220662,1.943182,1717,2551
"6",1,0,0,0,911209,0,0,-0.569881413949694,9.22124089033606,0,0,2.762117,7.629292,0.8134146,11643,10977
"7",0,1,0,0,911210,0,1,-0.201666049617228,8.40787183269763,0,0,2.762117,7.629292,0.890625,9640,7485
"8",0,0,1,0,911211,0,0,-0.519420627252155,6.97366678496662,1,0,2.762117,7.629292,0.7711539,9347,9009
"9",0,0,0,1,911212,0,1,-0.625932317780205,8.67015287505554,0,0,2.762117,7.629292,0.8894737,3890,4055
"10",0,0,0,0,911213,0,0,-0.343960813245261,9.42280528623467,0,0,2.590267,6.709484,0.7102941,16318,9992
"11",1,0,0,0,911216,1,0,-0.555047715346731,8.90377057278345,0,1,3.149883,9.921763,0.882,8725,5180
"12",0,1,0,0,911217,1,0,0.515522360027748,8.04784155507536,0,1,3.218876,10.36116,1.027778,2780,5030
"13",0,0,1,0,911218,1,0,0.58965076783926,8.23158090117964,0,1,3.184974,10.14406,0.93125,9078,6833
"14",0,0,0,1,911219,1,0,0.562413428422322,7.55947414420411,0,1,3.113515,9.693978,1.130952,5066,9763
"15",0,0,0,0,911220,1,0,0.354079428891587,8.16562288820922,0,1,3.149883,9.921763,1.2375,4796,5999
"16",1,0,0,0,911223,0,1,-0.297346940767939,8.20006469814818,0,1,2.953173,8.721229,0.7281818,13647,12196
"17",0,1,0,0,911224,0,1,0.0574982859590865,8.2022354953236,0,1,3.036554,9.220662,0.896875,1255,3464
"18",0,0,0,1,911226,0,1,0.393252448426268,8.58385677532867,0,1,2.953173,8.721229,1.25,1115,815
"19",0,0,0,0,911227,0,0,-0.0745740893608522,8.31820607701492,0,1,2.862201,8.192194,1.279487,6887,6627
"20",1,0,0,0,911230,0,0,0.343717676265381,8.30990097931197,1,1,2.70805,7.333536,0.9273437,15894,14260
"21",0,1,0,0,911231,0,0,-0.592338109364223,9.18457814270184,1,1,2.862201,8.192194,1.228261,5850,4015
"22",0,0,0,1,920102,0,0,-0.637366685900974,8.87500303304595,0,0,2.813411,7.91528,1.244595,409,4109
"23",0,0,0,0,920103,0,0,-0.0152428750265448,7.5912508066471,0,0,2.456736,6.035551,1.359375,7222,7222
"24",1,0,0,0,920106,1,0,-0.122040424759745,7.6695709080833,0,0,3.314186,10.98383,1.491216,13036,11224
"25",0,1,0,0,920107,1,0,-0.0629537103722555,9.06986658119175,0,1,3.344039,11.1826,1.64375,1760,3370
"26",0,0,1,0,920108,1,0,-0.541343069339358,8.47947802777365,0,1,3.036554,9.220662,1.487097,4824,3470
"27",0,0,0,1,920109,0,1,-0.366658420041071,8.81968633703846,0,1,2.813411,7.91528,1.327174,16489,13607
"28",0,0,0,0,920110,0,1,-0.306771579694752,7.84593225683121,1,0,2.650892,7.027227,1.254,4842,5260
"29",1,0,0,0,920113,0,1,-0.469158681830047,8.85706678502774,0,0,2.908721,8.460658,0.9302325,12732,11930
"30",0,1,0,0,920114,0,1,-0.409164387123006,7.96744336912301,0,0,2.813411,7.91528,0.8568182,7070,5590
"31",0,0,1,0,920115,1,0,-0.174945012837033,7.74308473038354,1,1,2.995732,8.974412,1.266667,2873,2270
"32",0,0,0,1,920116,1,0,0.427643181721581,8.45105583726351,0,1,3.113515,9.693978,1.1875,1915,4690
