"year","lnw","female","widowed","divorced","separated","nevermarried","hsd08","hsd911","hsg","cg","ad","mw","so","we","exp1","exp2","exp3","exp4","weight","married","ne","sc"
2012,1.90954250488444,1,0,0,0,0,0,0,0,0,0,0,0,0,22,4.84,10.648,23.4256,569.43,TRUE,TRUE,TRUE
2012,1.36577272539909,1,0,0,0,0,0,1,0,0,0,0,0,0,30,9,27,81,625.96,TRUE,TRUE,FALSE
2012,2.54022309045871,0,0,0,0,0,0,0,1,0,0,0,0,0,19,3.61,6.859,13.0321,264.22,TRUE,TRUE,FALSE
2012,1.80109079665694,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1.96,2.744,3.8416,256.81,TRUE,TRUE,FALSE
2012,3.3499040872746,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2.25,3.375,5.0625,256.81,TRUE,TRUE,FALSE
2012,2.002830439308,0,0,0,0,0,0,0,1,0,0,0,0,0,23,5.29,12.167,27.9841,513.03,TRUE,TRUE,FALSE
2012,2.45608621125251,0,0,0,0,1,0,0,1,0,0,0,0,0,33,10.89,35.937,118.5921,497.82,FALSE,TRUE,FALSE
2012,3.57304763858881,0,0,0,0,0,0,0,0,0,0,0,0,0,23.5,5.5225,12.977875,30.49800625,273.62,TRUE,TRUE,TRUE
2012,2.51365606307399,0,0,0,0,0,0,0,0,1,0,0,0,0,15,2.25,3.375,5.0625,273.62,TRUE,TRUE,FALSE
2012,0.289633292583043,1,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.4025,3.723875,5.77200625,273.62,TRUE,TRUE,TRUE
2012,2.49423797721688,0,0,0,0,0,0,0,1,0,0,0,0,0,17,2.89,4.913,8.3521,292.6,TRUE,TRUE,FALSE
2012,3.31116325895817,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0.49,0.343,0.2401,292.6,TRUE,TRUE,FALSE
2012,2.57819458421156,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1.3225,1.520875,1.74900625,292.6,TRUE,TRUE,TRUE
2012,2.55139639105683,0,0,0,0,1,0,0,0,1,0,0,0,0,27,7.29,19.683,53.1441,558.01,FALSE,TRUE,FALSE
2012,3.14226472249636,1,0,1,0,0,0,0,0,0,0,0,0,0,20.5,4.2025,8.615125,17.66100625,303.7,FALSE,TRUE,TRUE
2012,1.75388919517265,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1.69,2.197,2.8561,524.87,FALSE,TRUE,TRUE
2012,2.05891990595904,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0.81,0.729,0.6561,262.5,TRUE,TRUE,FALSE
2012,2.52322551409014,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0.04,0.008,0.0016,621.64,FALSE,TRUE,FALSE
2012,2.42791533428581,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0.9025,0.857375,0.81450625,273.81,TRUE,TRUE,TRUE
2012,2.91912117118215,1,0,0,0,1,0,0,0,1,0,0,0,0,15,2.25,3.375,5.0625,495.42,FALSE,TRUE,FALSE
2012,2.43361335540045,0,0,0,0,0,0,0,1,0,0,0,0,0,26,6.76,17.576,45.6976,625.96,TRUE,TRUE,FALSE
2012,2.65675690671466,1,0,0,0,0,0,0,0,0,0,0,0,0,16,2.56,4.096,6.5536,263.79,TRUE,TRUE,TRUE
2012,2.82038633049646,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.4025,3.723875,5.77200625,263.79,TRUE,TRUE,TRUE
2012,2.43361335540045,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5,0.4225,0.274625,0.17850625,263.79,FALSE,TRUE,TRUE
2012,2.05093901762803,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0.36,0.216,0.1296,316.26,FALSE,TRUE,TRUE
2012,3.3734345846848,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5,8.1225,23.149125,65.97500625,267.42,TRUE,TRUE,TRUE
2012,3.00506360098288,0,0,0,0,0,0,0,1,0,0,0,0,0,27,7.29,19.683,53.1441,261.91,TRUE,TRUE,FALSE
2012,2.2329426599383,1,0,0,0,0,0,0,0,1,0,0,0,0,20,4,8,16,261.91,TRUE,TRUE,FALSE
2012,2.52322551409014,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0.36,0.216,0.1296,287.58,TRUE,TRUE,FALSE
